;RaAv-1001;RaAv-1016;RaAv-1040;RaAv-1301;RaAv-1200;RaAv-1550;RaAv-1101;RaAv-1884;RaAv-1625;RaAv-1472;RaAv-1666;RaAv-1097;RaAv-1555;RaAv-1168;RaAv-1428;RaAv-1147;RaAv-1852;RaAv-1693;RaAv-1426;RaAv-1153;RaAv-1357;RaAv-1759;RaAv-1456;RaAv-1041;RaAv-1842;RaAv-1835;RaAv-1766;RaAv-1844;RaAv-1151;RaAv-1465
1;7979;7706;9543;8932;10597;8309;6919;11834;11757;9872;11612;12001;7452;6946;6371;12097;11046;10564;6635;6494;9059;6925;8208;11993;8403;8263;7710;8358;11688;9721
2;10903;8553;6122;9767;6990;10038;10145;10258;10877;8354;7774;11477;9045;10566;6554;10335;6433;8186;7638;10430;10549;7818;8481;9131;11980;10988;10028;8167;10126;7048
3;9400;6223;11754;10114;10779;9892;10593;6479;11603;10567;12011;11575;12028;6728;11087;7181;8068;11445;11238;7863;7849;11033;11165;9584;7097;10094;9447;9209;8289;7448
4;11529;9625;10015;9417;8153;12043;6623;8414;7316;11669;6494;9634;7221;10047;11294;6140;10742;8701;9016;11601;10402;7680;7925;10659;11018;6840;8487;7967;9734;10820
5;12043;7640;9982;6035;10245;10772;9110;12120;7550;9296;12073;11634;10502;8935;9914;11792;10979;8406;8673;10966;7173;6301;6236;6779;8579;10626;8123;7589;9190;9496
6;6401;11456;7853;8793;8832;9133;9864;9505;7554;10731;9958;6544;9318;6384;7913;9727;11702;9830;11177;11765;11192;8131;10756;7152;8122;10492;11684;10961;10607;11459
7;10517;10967;12013;6480;8316;11272;6495;9572;10607;7588;8771;10467;11214;12015;9917;11599;7945;6806;10398;9088;9010;11923;7734;9240;9514;10482;8831;11892;8575;7910
8;7460;9417;8373;7551;6353;10863;9098;11431;11976;7678;10853;8363;10176;10174;7154;9591;9621;10535;8416;9383;8915;10650;10850;6030;9110;8290;6489;10918;8243;9237
9;7853;8098;9975;12011;11682;6987;7072;8658;7014;9826;6790;7305;8356;8461;7753;6453;7110;11920;11070;9050;11929;8261;8343;10693;8672;10820;7890;9777;9361;6437
10;9262;9384;7591;8324;6182;6939;8297;10115;6247;11048;11993;7953;11366;8832;9092;9294;10655;8630;10170;6295;11963;7793;11539;9986;7165;7838;7852;7150;7470;11895
11;7674;11899;8059;8809;6547;8960;6482;8259;6211;6614;8306;6367;6925;7013;7009;7995;9127;11393;8610;10779;11379;10860;9156;9480;7428;6948;7259;9587;7283;6796
12;9551;9422;8714;7204;8965;11544;9616;8180;6153;11567;11242;11040;9550;10022;8462;10784;11897;7817;11212;8092;11679;7420;6766;10133;11176;9092;6144;9386;10491;9792
13;11175;11947;8714;9749;11133;8173;8028;9867;10139;9882;9833;8542;9463;6024;8344;7854;11314;12028;7392;11913;6524;6730;9639;7110;7611;7101;7080;10747;8225;10504
